1,Martin,Perez,12345678,martin.perez@yahoo.com,ACTIVO
2,Lucia,Gomez,23456789,lucia.gomez@gmail.com,ACTIVO
3,Carlos,Rodriguez,34567890,carlos.rodriguez@hotmail.com,ACTIVO
4,Julian,Fernandez,45678901,julianf@gmail.com,ACTIVO
5,Sofia,Martinez,56789012,sofia.martinez@gmail.com,ACTIVO
6,Diego,Lopez,67890123,d.lopez@outlook.com,ACTIVO
7,Valentina,Garcia,78901234,valen.garcia@hotmail.com,ACTIVO
8,Tomas,Sanchez,89012345,t.sanchez@gmail.com,ACTIVO
9,Gregorio,Diaz,90123456,gregorio.diaz@yahoo.com,ACTIVO
10,Facundo,Romero,34678234,facundo.romero@gmail.com,ACTIVO
